      Radius     |       Dichte
  5.8000E-01     |      0.9448689
  5.8100E-01     |      0.9446818
  5.8200E-01     |      0.9444944
  5.8300E-01     |      0.9443068
  5.8400E-01     |      0.9441188
  5.8500E-01     |      0.9439306
  5.8600E-01     |      0.9437420
  5.8700E-01     |      0.9435532
  5.8800E-01     |      0.9433640
  5.8900E-01     |      0.9431745
  5.9000E-01     |      0.9429848
  5.9100E-01     |      0.9427947
  5.9200E-01     |      0.9426044
  5.9300E-01     |      0.9424137
  5.9400E-01     |      0.9422228
  5.9500E-01     |      0.9420315
  5.9600E-01     |      0.9418400
  5.9700E-01     |      0.9416481
  5.9800E-01     |      0.9414560
  5.9900E-01     |      0.9412635
  6.0000E-01     |      0.9410708
  6.0100E-01     |      0.9408777
  6.0200E-01     |      0.9406844
  6.0300E-01     |      0.9404908
  6.0400E-01     |      0.9402968
  6.0500E-01     |      0.9401026
  6.0600E-01     |      0.9399081
  6.0700E-01     |      0.9397132
  6.0800E-01     |      0.9395181
  6.0900E-01     |      0.9393227
  6.1000E-01     |      0.9391270
  6.1100E-01     |      0.9389310
  6.1200E-01     |      0.9387347
  6.1300E-01     |      0.9385380
  6.1400E-01     |      0.9383411
  6.1500E-01     |      0.9381439
  6.1600E-01     |      0.9379464
  6.1700E-01     |      0.9377486
  6.1800E-01     |      0.9375506
  6.1900E-01     |      0.9373522
  6.2000E-01     |      0.9371535
  6.2100E-01     |      0.9369545
  6.2200E-01     |      0.9367552
  6.2300E-01     |      0.9365557
  6.2400E-01     |      0.9363558
  6.2500E-01     |      0.9361556
  6.2600E-01     |      0.9359552
  6.2700E-01     |      0.9357544
  6.2800E-01     |      0.9355534
  6.2900E-01     |      0.9353520
  6.3000E-01     |      0.9351504
  6.3100E-01     |      0.9349485
  6.3200E-01     |      0.9347463
  6.3300E-01     |      0.9345437
  6.3400E-01     |      0.9343409
  6.3500E-01     |      0.9341378
  6.3600E-01     |      0.9339344
  6.3700E-01     |      0.9337307
  6.3800E-01     |      0.9335267
  6.3900E-01     |      0.9333225
  6.4000E-01     |      0.9331179
  6.4100E-01     |      0.9329130
  6.4200E-01     |      0.9327078
  6.4300E-01     |      0.9325024
  6.4400E-01     |      0.9322966
  6.4500E-01     |      0.9320906
  6.4600E-01     |      0.9318843
  6.4700E-01     |      0.9316776
  6.4800E-01     |      0.9314707
  6.4900E-01     |      0.9312635
  6.5000E-01     |      0.9310560
  6.5100E-01     |      0.9308482
  6.5200E-01     |      0.9306401
  6.5300E-01     |      0.9304317
  6.5400E-01     |      0.9302231
  6.5500E-01     |      0.9300141
  6.5600E-01     |      0.9298049
  6.5700E-01     |      0.9295953
  6.5800E-01     |      0.9293855
  6.5900E-01     |      0.9291753
  6.6000E-01     |      0.9289649
  6.6100E-01     |      0.9287542
  6.6200E-01     |      0.9285432
  6.6300E-01     |      0.9283319
  6.6400E-01     |      0.9281203
  6.6500E-01     |      0.9279085
  6.6600E-01     |      0.9276963
  6.6700E-01     |      0.9274839
  6.6800E-01     |      0.9272711
  6.6900E-01     |      0.9270581
  6.7000E-01     |      0.9268448
  6.7100E-01     |      0.9266311
  6.7200E-01     |      0.9264172
  6.7300E-01     |      0.9262031
  6.7400E-01     |      0.9259886
  6.7500E-01     |      0.9257738
  6.7600E-01     |      0.9255587
  6.7700E-01     |      0.9253434
  6.7800E-01     |      0.9251278
  6.7900E-01     |      0.9249118
  6.8000E-01     |      0.9246956
  6.8100E-01     |      0.9244791
  6.8200E-01     |      0.9242623
  6.8300E-01     |      0.9240453
  6.8400E-01     |      0.9238279
  6.8500E-01     |      0.9236102
  6.8600E-01     |      0.9233923
  6.8700E-01     |      0.9231741
  6.8800E-01     |      0.9229555
  6.8900E-01     |      0.9227367
  6.9000E-01     |      0.9225177
  6.9100E-01     |      0.9222983
  6.9200E-01     |      0.9220786
  6.9300E-01     |      0.9218587
  6.9400E-01     |      0.9216384
  6.9500E-01     |      0.9214179
  6.9600E-01     |      0.9211971
  6.9700E-01     |      0.9209760
  6.9800E-01     |      0.9207546
  6.9900E-01     |      0.9205329
  7.0000E-01     |      0.9203110
  7.0100E-01     |      0.9200887
  7.0200E-01     |      0.9198662
