      Radius     |       Dichte       |       Masse
  2.8300E-02     |      0.9998665     |   7.5545E-06
  2.8400E-02     |      0.9998656     |   7.6348E-06
  2.8500E-02     |      0.9998646     |   7.7157E-06
  2.8600E-02     |      0.9998637     |   7.7972E-06
  2.8700E-02     |      0.9998627     |   7.8793E-06
  2.8800E-02     |      0.9998618     |   7.9620E-06
  2.8900E-02     |      0.9998608     |   8.0452E-06
  2.9000E-02     |      0.9998598     |   8.1290E-06
  2.9100E-02     |      0.9998589     |   8.2134E-06
  2.9200E-02     |      0.9998579     |   8.2983E-06
  2.9300E-02     |      0.9998569     |   8.3839E-06
  2.9400E-02     |      0.9998559     |   8.4700E-06
  2.9500E-02     |      0.9998550     |   8.5567E-06
  2.9600E-02     |      0.9998540     |   8.6440E-06
  2.9700E-02     |      0.9998530     |   8.7319E-06
  2.9800E-02     |      0.9998520     |   8.8204E-06
  2.9900E-02     |      0.9998510     |   8.9095E-06
  3.0000E-02     |      0.9998500     |   8.9992E-06
  3.0100E-02     |      0.9998490     |   9.0895E-06
  3.0200E-02     |      0.9998480     |   9.1804E-06
  3.0300E-02     |      0.9998470     |   9.2719E-06
  3.0400E-02     |      0.9998460     |   9.3640E-06
  3.0500E-02     |      0.9998450     |   9.4567E-06
  3.0600E-02     |      0.9998439     |   9.5500E-06
  3.0700E-02     |      0.9998429     |   9.6439E-06
  3.0800E-02     |      0.9998419     |   9.7384E-06
  3.0900E-02     |      0.9998409     |   9.8336E-06
  3.1000E-02     |      0.9998398     |   9.9294E-06
  3.1100E-02     |      0.9998388     |   1.0026E-05
  3.1200E-02     |      0.9998378     |   1.0123E-05
  3.1300E-02     |      0.9998367     |   1.0220E-05
  3.1400E-02     |      0.9998357     |   1.0319E-05
  3.1500E-02     |      0.9998346     |   1.0418E-05
  3.1600E-02     |      0.9998336     |   1.0517E-05
  3.1700E-02     |      0.9998325     |   1.0617E-05
  3.1800E-02     |      0.9998315     |   1.0718E-05
  3.1900E-02     |      0.9998304     |   1.0819E-05
  3.2000E-02     |      0.9998293     |   1.0922E-05
  3.2100E-02     |      0.9998283     |   1.1024E-05
  3.2200E-02     |      0.9998272     |   1.1128E-05
  3.2300E-02     |      0.9998261     |   1.1232E-05
  3.2400E-02     |      0.9998250     |   1.1336E-05
  3.2500E-02     |      0.9998240     |   1.1441E-05
  3.2600E-02     |      0.9998229     |   1.1547E-05
  3.2700E-02     |      0.9998218     |   1.1654E-05
  3.2800E-02     |      0.9998207     |   1.1761E-05
  3.2900E-02     |      0.9998196     |   1.1869E-05
  3.3000E-02     |      0.9998185     |   1.1978E-05
  3.3100E-02     |      0.9998174     |   1.2087E-05
  3.3200E-02     |      0.9998163     |   1.2197E-05
  3.3300E-02     |      0.9998152     |   1.2307E-05
  3.3400E-02     |      0.9998141     |   1.2419E-05
  3.3500E-02     |      0.9998130     |   1.2530E-05
  3.3600E-02     |      0.9998119     |   1.2643E-05
  3.3700E-02     |      0.9998107     |   1.2756E-05
  3.3800E-02     |      0.9998096     |   1.2870E-05
  3.3900E-02     |      0.9998085     |   1.2985E-05
  3.4000E-02     |      0.9998073     |   1.3100E-05
  3.4100E-02     |      0.9998062     |   1.3216E-05
  3.4200E-02     |      0.9998051     |   1.3332E-05
  3.4300E-02     |      0.9998039     |   1.3450E-05
  3.4400E-02     |      0.9998028     |   1.3568E-05
  3.4500E-02     |      0.9998016     |   1.3686E-05
  3.4600E-02     |      0.9998005     |   1.3806E-05
  3.4700E-02     |      0.9997993     |   1.3926E-05
  3.4800E-02     |      0.9997982     |   1.4046E-05
  3.4900E-02     |      0.9997970     |   1.4168E-05
  3.5000E-02     |      0.9997958     |   1.4290E-05
  3.5100E-02     |      0.9997947     |   1.4413E-05
  3.5200E-02     |      0.9997935     |   1.4536E-05
  3.5300E-02     |      0.9997923     |   1.4660E-05
  3.5400E-02     |      0.9997912     |   1.4785E-05
  3.5500E-02     |      0.9997900     |   1.4911E-05
  3.5600E-02     |      0.9997888     |   1.5037E-05
  3.5700E-02     |      0.9997876     |   1.5164E-05
  3.5800E-02     |      0.9997864     |   1.5292E-05
  3.5900E-02     |      0.9997852     |   1.5421E-05
  3.6000E-02     |      0.9997840     |   1.5550E-05
  3.6100E-02     |      0.9997828     |   1.5680E-05
  3.6200E-02     |      0.9997816     |   1.5811E-05
  3.6300E-02     |      0.9997804     |   1.5942E-05
  3.6400E-02     |      0.9997792     |   1.6074E-05
  3.6500E-02     |      0.9997780     |   1.6207E-05
  3.6600E-02     |      0.9997768     |   1.6340E-05
  3.6700E-02     |      0.9997755     |   1.6475E-05
  3.6800E-02     |      0.9997743     |   1.6610E-05
  3.6900E-02     |      0.9997731     |   1.6746E-05
  3.7000E-02     |      0.9997718     |   1.6882E-05
  3.7100E-02     |      0.9997706     |   1.7019E-05
  3.7200E-02     |      0.9997694     |   1.7157E-05
  3.7300E-02     |      0.9997681     |   1.7296E-05
  3.7400E-02     |      0.9997669     |   1.7435E-05
  3.7500E-02     |      0.9997656     |   1.7576E-05
  3.7600E-02     |      0.9997644     |   1.7717E-05
  3.7700E-02     |      0.9997631     |   1.7858E-05
  3.7800E-02     |      0.9997619     |   1.8001E-05
  3.7900E-02     |      0.9997606     |   1.8144E-05
  3.8000E-02     |      0.9997594     |   1.8288E-05
  3.8100E-02     |      0.9997581     |   1.8433E-05
  3.8200E-02     |      0.9997568     |   1.8578E-05
  3.8300E-02     |      0.9997555     |   1.8725E-05
  3.8400E-02     |      0.9997543     |   1.8872E-05
  3.8500E-02     |      0.9997530     |   1.9019E-05
  3.8600E-02     |      0.9997517     |   1.9168E-05
  3.8700E-02     |      0.9997504     |   1.9317E-05
  3.8800E-02     |      0.9997491     |   1.9467E-05
  3.8900E-02     |      0.9997478     |   1.9618E-05
  3.9000E-02     |      0.9997465     |   1.9770E-05
  3.9100E-02     |      0.9997452     |   1.9922E-05
  3.9200E-02     |      0.9997439     |   2.0076E-05
  3.9300E-02     |      0.9997426     |   2.0230E-05
  3.9400E-02     |      0.9997413     |   2.0384E-05
  3.9500E-02     |      0.9997400     |   2.0540E-05
  3.9600E-02     |      0.9997387     |   2.0696E-05
  3.9700E-02     |      0.9997373     |   2.0854E-05
  3.9800E-02     |      0.9997360     |   2.1012E-05
  3.9900E-02     |      0.9997347     |   2.1170E-05
  4.0000E-02     |      0.9997334     |   2.1330E-05
  4.0100E-02     |      0.9997320     |   2.1490E-05
  4.0200E-02     |      0.9997307     |   2.1651E-05
  4.0300E-02     |      0.9997293     |   2.1813E-05
  4.0400E-02     |      0.9997280     |   2.1976E-05
  4.0500E-02     |      0.9997266     |   2.2140E-05
  4.0600E-02     |      0.9997253     |   2.2304E-05
  4.0700E-02     |      0.9997239     |   2.2469E-05
  4.0800E-02     |      0.9997226     |   2.2635E-05
  4.0900E-02     |      0.9997212     |   2.2802E-05
  4.1000E-02     |      0.9997199     |   2.2970E-05
  4.1100E-02     |      0.9997185     |   2.3138E-05
  4.1200E-02     |      0.9997171     |   2.3308E-05
  4.1300E-02     |      0.9997157     |   2.3478E-05
  4.1400E-02     |      0.9997144     |   2.3649E-05
  4.1500E-02     |      0.9997130     |   2.3820E-05
  4.1600E-02     |      0.9997116     |   2.3993E-05
